ID,用户能力水平,年龄标签,性别,分配,录制参考文本,录制参考音频,录音要求,,,,,,,
2,初级,大学生,女,,I told you that i quarreled with my friends yesterday uh then i i get along with her no so i think i'm i'm so happy,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054740526/0248e746-e3da-41cf-94a9-4377a02d4dee?lk3s=ec46513b&x-expires=2080655354&x-signature=L55ZpHT3g%2FvH7tgq1HjpyQrEgkM%3D,"1. 动词时态错误，应该是then I got along with her.
2. get along使用不当，可以更改为make up， 因为get along是状态，一直存续，但是和好是瞬时性动作
2. now的发音像no",,,,,,,
2,初级,大学生,女,,Yesterday 不是 i i gave her to make a foods snacks then he he uh。,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648725001/d059eb86-7454-4421-a429-f6b2dcbb2a1a?lk3s=ec46513b&x-expires=2080655355&x-signature=yf4PZ%2F5HK78%2F%2BHBPjP%2FFuPQ7AyI%3D,"1. 前后代词不一致，前面是her，后面变成了he
2. snack的发音像是snake.",,,,,,,
2,初级,大学生,女,,"I mean that I give her to snake and then when her went door dorm name and when her went to door he, but she gave me.",https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090393134/85aea56c-c2f8-439a-94bf-e4cdf420c477?lk3s=ec46513b&x-expires=2080655355&x-signature=lFId9KM4ZTVvZsnKWXHcCnb%2BBs8%3D,"1. snack应该用复数snacks
2. her应该改为she",,,,,,,
2,初级,大学生,女,,唐,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856429612924978/66d27715-fd9f-4b6c-9db8-3340e90b34b7?lk3s=ec46513b&x-expires=2080655354&x-signature=SuBtRXnBUNBWsBAyyG9CFx6KkOc%3D,,,,,,,,
2,初级,大学生,女,,棒棒糖，棒棒糖。,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856418405924914/bc65e5ae-b943-481a-8e63-f77eb887f557?lk3s=ec46513b&x-expires=2080655354&x-signature=WLbetEPu4%2FBj8jsix3E6nmxlPiQ%3D,,,,,,,,
2,初级,大学生,女,,I went went door dorm at uh ten ten o'clock and then i gave i put two milks jow to her uh desk um when her when her went went dorm she gave me a lollipop then we uh we we,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090360366/1d572d41-c800-4c9c-892b-89562ae150cb?lk3s=ec46513b&x-expires=2080655355&x-signature=vSY4VTb3gW7lJeOB50D%2FEVLsPJY%3D,"went dorm 应该改为went back to the dorm；
when her应该改为when she",,,,,,,
2,初级,大学生,女,,从该车上问。,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054724142/bbc1e899-e1d4-41ca-be6b-759357ccb034?lk3s=ec46513b&x-expires=2080655354&x-signature=9gAgpvEpMrcixlI4YyUcIBuEyP4%3D,,,,,,,,
2,初级,大学生,女,,I went door at ten o'clock yesterday evening and then again put two milks joow to her desk when her went dorm she gave me a lollip,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856429612957746/21a84ef5-f6c3-47fb-a80d-48a281775c5a?lk3s=ec46513b&x-expires=2080655355&x-signature=QPgMe2dyVnhTplsFUbtQ5WeWZuA%3D,went dorm 应该改为went back to the dorm；gave two 妙脆角 to her desk应该改为put two 妙脆角 on/in her desk,,,,,,,
2,初级,大学生,女,,I went the dorm at ten o'clock yesterday evening and i put some mealplings on her desk when she went to the dorm she gave me a lollipop so we we finally uh 和好,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054887982/d1aa5f95-7033-4a93-b319-64e09dcd67fc?lk3s=ec46513b&x-expires=2080655355&x-signature=Sd8KTvSAc3yoN0jIVIwf5Tun%2F9s%3D,went dorm 应该改为went back to the dorm,,,,,,,
2,初级,大学生,女,,I went the dorm at ten ten o'clock i uh but yesterday evening,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054822446/efd0e8e0-0214-427a-a81a-943a3df3d11f?lk3s=ec46513b&x-expires=2080655355&x-signature=PkrzbUEWMvpS1LUu%2BF1KsNNcyZU%3D,went dorm 应该改为went back to the dorm,,,,,,,
2,初级,大学生,女,,呃,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648741385/b9f30a9a-bedd-4ef5-9db9-08bf391919d6?lk3s=ec46513b&x-expires=2080655355&x-signature=2K%2BR924%2BGKPiTaiJIhAu5E3z2C0%3D,,,,,,,,
2,初级,大学生,女,,I did i didn't sit with with her uh at the first class uh i in the yesterday afternoon uh so i uh cried,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856413343547419/c674688a-f6fc-4811-8325-a5a6bf438e94?lk3s=ec46513b&x-expires=2080655355&x-signature=m7jmGTdj%2B4WIq2BCShGLjus0krY%3D,in the yesterday afternoon应改为yesterday afternoon；,,,,,,,
2,初级,大学生,女,,I think.,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856413343514651/0f37acac-9e3e-448d-a6ea-7c2525de79c4?lk3s=ec46513b&x-expires=2080655355&x-signature=taicYJpDg3NG5MNV2ZhyNy%2BMlwo%3D,,,,,,,,
2,初级,大学生,女,,Over for.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831288841/eb861284-6ded-46d3-aa8f-ba22c343ad57?lk3s=ec46513b&x-expires=2080655355&x-signature=TGkxZv1B0lf%2FGGGu9z8vDUiJWT0%3D,sorrowful听起来像sorrow four,,,,,,,
2,初级,大学生,女,,I think uh i'm i was so sorrowful yesterday afternoon so i cried,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054838830/42df64a1-3158-47f7-bb3a-0b51839b5eab?lk3s=ec46513b&x-expires=2080655355&x-signature=7w629rGMP9jngSDZY67s9MnoDII%3D,,,,,,,,
2,初级,大学生,女,,"I set the, I set seated alone at first class and then my friends company with me.",https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447950225459/55c19434-bfa9-4432-b0fd-a931cdea557f?lk3s=ec46513b&x-expires=2080655355&x-signature=h%2BKQ8xbHnp2bO2ZenOSNey1E%2Fqk%3D,"1. company时态错误，应该为companied；sit过去式为sat，不是sited
2. 冠词使用错误，at first class 应该改为at the first class；company是不及物动词，可以换为accompany，accompany是及物动词
3. sat发音像set",,,,,,,
2,初级,大学生,女,,I seated alone at first class and my friends uh accompanied me at the second class i uh but the friends isn't isn't the,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090409518/43b6bd12-ae17-4b80-9beb-a1ff13da7d3d?lk3s=ec46513b&x-expires=2080655355&x-signature=Zj2iSkewDlVkFGBxX9%2FMo%2F%2FdNgk%3D,"1. 冠词使用错误，at first class 应该改为at the first class；缺少介词， 应该是accompanied with me
2. sit过去式为sat，不是sited",,,,,,,
2,初级,大学生,女,,Who qureled with me?,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856413343563803/775c20a9-67bf-4b69-b70c-c6e9b4345889?lk3s=ec46513b&x-expires=2080655355&x-signature=Dp72bgWAh%2FkIdPj%2BKTNjEcGFoN4%3D,"1. sit过去式为sat，不是sited
2. quarreled听起来像quired",,,,,,,
2,初级,大学生,女,,I set. I seated alone at first class and my friends accompanied me at the second class.,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419563569162/d51760a4-d939-43ee-b0f2-bf05f509938d?lk3s=ec46513b&x-expires=2080655355&x-signature=rBIAZacRXctNDpwTtStVkfuxefo%3D,冠词使用错误，at first class 应该改为at the first class；缺少介词， 应该是accompanied with me,,,,,,,
2,初级,大学生,女,,呃 i seated alone at first class and my friends all who isn't uh the qureled with me uh come accompanied me at the second class,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856415998656522/ea3a87b4-31c8-490d-9eb9-e24cd3a2f032?lk3s=ec46513b&x-expires=2080655355&x-signature=s6Al97RWeqtgvD65MeXAZUTHzUA%3D,"1.冠词使用错误，at first class 应该改为at the first class；定语从句错误 应该改为who didn't quarrel with me
2. sit过去式为sat，不是sited
3. quarrel听起来像quire",,,,,,,
2,初级,大学生,女,,我的意思是说就是后面陪我这陪我上课的这个朋友，不是那个和我吵架的。对，我这个定语从句是不是用错了？,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856406813212710/55db9805-62f6-4305-a6a4-f5522e57a1b5?lk3s=ec46513b&x-expires=2080655355&x-signature=wQWsbi8EhBICFaUDAUFWl7LYMv0%3D,,,,,,,,
2,初级,大学生,女,,I set a long at the first class and then my friends uh accompanied me and the friends isn't the one who quarreled with me,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419068543027/4c2a674f-e8c9-41e5-8845-6e6c97bfd73a?lk3s=ec46513b&x-expires=2080655355&x-signature=DQdUi6m%2Fzg3SlT0Iu9qRKRtrzHs%3D,"1. 名词单复数错误，friends应该改为friend
2. accompany缺少介词， 应该是accompanied with me
3. sat发音像sit；quarreled听起来像quired；alone像along",,,,,,,
2,初级,大学生,女,,"We often, we usually share videos each other. I think the, we get along.",https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856432394289198/ee013af5-4198-4335-a04e-2a605444433c?lk3s=ec46513b&x-expires=2080655355&x-signature=alnGLXjOwocv2CDZuUOLtCLU5%2Fw%3D,应该是with each other,,,,,,,
2,初级,大学生,女,,咪咕的。,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090442286/c7af15fe-2bbf-4490-9dda-e9edc1d97f13?lk3s=ec46513b&x-expires=2080655355&x-signature=IPTMMhiV02OJnl%2BuhcI0IiBQPRk%3D,,,,,,,,
2,初级,大学生,女,,Will usually share videos with each other.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856412903112755/acc3d260-ecbe-4bbd-9199-afad3c7e38c2?lk3s=ec46513b&x-expires=2080655355&x-signature=X29bY0HJRGomZR3OAJYGdnbWZwo%3D,,,,,,,,
2,初级,大学生,女,,嗯,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856432394272814/f5b46022-c9c3-4077-aa6a-e67d04ef116d?lk3s=ec46513b&x-expires=2080655355&x-signature=TsciBtfIDbY5vwLrZLCPYlznCxc%3D,,,,,,,,
2,初级,大学生,女,,Is definitely， 搞笑的。,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648790537/cd450f6c-cbc4-4675-aedf-3e2f778266a4?lk3s=ec46513b&x-expires=2080655355&x-signature=4zLBqgNbMfG%2BbiHxQftM9wExBKs%3D,,,,,,,,
2,初级,大学生,女,,I think that.,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831321609/472643f6-633f-4674-a8df-1e415d250f5e?lk3s=ec46513b&x-expires=2080655355&x-signature=1%2BHJoyuvw7PE4ykzXVLbAdA8mQc%3D,,,,,,,,
2,初级,大学生,女,,Uh i don't know,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090475054/0ceec9e5-6175-4533-9327-7ebac7a230f2?lk3s=ec46513b&x-expires=2080655355&x-signature=7beQZJIWKLhFPhDpgqbkboG%2F%2Bu0%3D,用户有卡壳,,,,,,,
2,初级,大学生,女,,"In daily life, everybody likes watching of funny videos because they will find funny in in the in this videos.",https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831354377/109cd113-f57d-4611-a1d0-ebc7a48a17ee?lk3s=ec46513b&x-expires=2080655355&x-signature=thJpbyO6sMlbTPZNP1FLq5QPc2Y%3D,"1. funny是形容词，后面应该加上名词，比如funny things
2. funny读的像fanny",,,,,,,
2,初级,大学生,女,,"Yes, certainly.",https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447950258227/c36f99b4-284e-40fc-bfac-4b5bbc85cff4?lk3s=ec46513b&x-expires=2080655355&x-signature=8LyT%2BzOJ75EH%2FvoLLXORwVYLK2U%3D,,,,,,,,
2,初级,大学生,女,,I.,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054920750/d5e92050-a672-4d77-9d48-342aac82b52b?lk3s=ec46513b&x-expires=2080655355&x-signature=bPMYH28Wx%2BozeD4S3AjbLdYoHuY%3D,,,,,,,,
2,初级,大学生,女,,Is it seems.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856412903145523/fcc4467f-b3fd-4652-b7a3-b68c1cec00e3?lk3s=ec46513b&x-expires=2080655355&x-signature=fYmJMtU6dkzQLQIx46OyCu%2B%2FTVE%3D,,,,,,,,
2,初级,大学生,女,,I don't remember clearly,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648806921/61353f5b-0924-46f5-a40f-570542d701d6?lk3s=ec46513b&x-expires=2080655355&x-signature=f44rbjK%2F8kTR%2BaxltKQBLgLMnx4%3D,,,,,,,,
2,初级,大学生,女,,And a clothes.,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090556974/e7802638-cfd1-4fb8-91d9-d990f0e14e78?lk3s=ec46513b&x-expires=2080655355&x-signature=xANXKrLz8NYOSRn8wNnw9vcknRo%3D,,,,,,,,
2,初级,大学生,女,,Can we?,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856429613023282/031011bc-66bf-481f-89d4-763adec72d95?lk3s=ec46513b&x-expires=2080655355&x-signature=WO7BI%2B1WFFI2pA5ViOLQiSAMCfg%3D,,,,,,,,
2,初级,大学生,女,,Drift another topic.,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856429612990514/9aa4343e-6161-4ecc-86fe-d9848f91841d?lk3s=ec46513b&x-expires=2080655355&x-signature=CBvVu9Mzj6vabBIGitlJ8FmWzCs%3D,shift读的像drift,,,,,,,
2,初级,大学生,女,,I don't talk this uh topic and then i will tell you today we i will tell you uh that uh we uh physical uh tax today,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054986286/decaf166-d511-426f-8156-d5008b7ca210?lk3s=ec46513b&x-expires=2080655355&x-signature=INoTZweZPM8sWt3QUvCDzjGmn%2B4%3D,"1. we应该改为our
2. test读的像tax",,,,,,,
2,初级,大学生,女,,我说的是，我说的是体测。,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447950290995/fee9a7f7-b074-431b-aa8d-9ec28d5a4957?lk3s=ec46513b&x-expires=2080655355&x-signature=qi35LSDPNSnL5o2RL7o20Zw6M1A%3D,,,,,,,,
2,初级,大学生,女,,We be。,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648856073/bb561425-c388-433e-996d-42e68e2db7d9?lk3s=ec46513b&x-expires=2080655355&x-signature=l4EY9D9lpCL76jg0fgg3V4vmlAc%3D,,,,,,,,
2,初级,大学生,女,,We.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090524206/8fa1f22b-c12d-45a3-99d3-d648cae5d25f?lk3s=ec46513b&x-expires=2080655355&x-signature=FDr%2B2m%2BhU1fUSKNGF%2Bsj7BPrQaw%3D,,,,,,,,
2,初级,大学生,女,,We we study， we learn the 太极拳 at first， then we， we rest will。,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441054953518/cc718681-b7c5-4495-96fc-db39bf33b19a?lk3s=ec46513b&x-expires=2080655355&x-signature=Ag44c5CEhfaEZPI0JslPpF%2B4I%2BI%3D,"1. 时态错误，应该用一般过去时learned和rested
2. while读的像will",,,,,,,
2,初级,大学生,女,,"Oh, our teacher told us that we should.",https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856418405957682/dd2be4a4-f2ef-40ca-a10f-ad23bcc0a6e7?lk3s=ec46513b&x-expires=2080655355&x-signature=W3fwbGyQ%2Fq%2FlwjR5bj1ocls6nBY%3D,,,,,,,,
2,初级,大学生,女,,"Began. We should begin to she learn, but we should begin to physical fitness.",https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447090573358/8dc725db-d816-4847-a9d0-5872aa76cd3f?lk3s=ec46513b&x-expires=2080655355&x-signature=LjLKAqwgLj9ivcDecALLoBIshzM%3D,后半句应添加一个动词，如we should begin to strengthen physical fitness,,,,,,,
2,初级,大学生,女,,We learned a 太极拳 at first， at the middle we have had a rest， after the， after the rest。,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856447950323763/6973ef2b-b453-42c1-936c-0be18bee85d2?lk3s=ec46513b&x-expires=2080655355&x-signature=djGFH%2Bka01FggcP6qnw4cabNuZc%3D,,,,,,,,
2,初级,大学生,女,,Fitness test. So we tested the.,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856418405990450/0467ed22-b619-43ff-8389-86cb06a71641?lk3s=ec46513b&x-expires=2080655355&x-signature=NCyhP8%2FC2%2F4%2BFOMg2EFslRKlJsg%3D,Chinglish思维，可以改为fifty-meter run,,,,,,,
2,初级,大学生,女,,We learned 太极拳 first is middle。 we have the rest。,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419563667466/c806b1bd-823e-4b68-85b4-030f931b155d?lk3s=ec46513b&x-expires=2080655355&x-signature=tvu3eU2QUcyg%2FgdoPitPAcee%2Bg4%3D,时态错误，have应该改为had,,,,,,,
2,初级,大学生,女,,To tell physical， OK， 你说。,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419563601930/de564e73-4288-4b1a-b985-316742ed0eb7?lk3s=ec46513b&x-expires=2080655355&x-signature=xOa%2BAgnwFOGOQ%2B%2FKPdi1cp6vpig%3D,,,,,,,,
2,初级,大学生,女,,Our teacher told us that we need to， 进行， uh， began， began physical fitness test。,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856415998689290/5e4e8cbb-9c58-4a01-942a-d9d1b7365504?lk3s=ec46513b&x-expires=2080655355&x-signature=s3w8gdV1T0jtwCZY5kJoiQbiKis%3D,"1. test可数，前面需要加冠词，属于语法错误
2. need to后面跟动词原形，began应该改为begin",,,,,,,
2,初级,大学生,女,,对，这句话怎么说？我们的老师告诉我们要进行体测。,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831387145/4d7b7ef7-ea0c-4aed-8da0-6fbdc3835f9b?lk3s=ec46513b&x-expires=2080655355&x-signature=CSPtLtRyaIJk%2BKZYobjafZkAoik%3D,,,,,,,,
2,初级,大学生,女,,"We, we tested 50 meters. I.",https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419068575795/025c7291-c48e-4f06-b895-4d285aeaee5f?lk3s=ec46513b&x-expires=2080655355&x-signature=syfXLIA4wXgbpvKY3B3gT4MSxOw%3D,Chinglish思维，应该改为fifty-meter run,,,,,,,
2,初级,大学生,女,,Program.,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419563618314/fa2420a1-75a8-4a25-babe-568d694b5eee?lk3s=ec46513b&x-expires=2080655355&x-signature=36%2FUYfP4uML2OAU6MsOEYuGqWRw%3D,,,,,,,,
2,初级,大学生,女,,We tested 50 meters at the first project.,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856441055019054/91202276-5220-4cd4-b95e-a7a6d3db7a34?lk3s=ec46513b&x-expires=2080655355&x-signature=nAgeRoFa8qRWkTj4i3zkPONBhKw%3D,Chinglish思维，应该改为fifty-meter run,,,,,,,
2,初级,大学生,女,,Bad.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856419563683850/4559ca52-7cb2-4929-aa46-54a75f2a899d?lk3s=ec46513b&x-expires=2080655355&x-signature=upG1wjr%2BIt3qcMhOmC7uPT3mN5I%3D,,,,,,,,
2,初级,大学生,女,,I i'm not i'm not good at uh the uh physical fitness test uh i think it's so tired after the test,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/7647856417831419913/1a26d634-93c0-42d0-a1e8-eb122c380bc3?lk3s=ec46513b&x-expires=2080655355&x-signature=%2F9%2F%2BfVXedwm6dX2ZYFEo4arxWDg%3D,"1. 应该用tiring，而非tired
2. tired读的像teared",,,,,,,
2,初级,大学生,女,,800 meters test.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856452593287219/57661613-f4c3-4973-ba66-d0fd384c4284?lk3s=ec46513b&x-expires=2080655355&x-signature=ASSQ8bkM4XlQoaGgn8eV4Y4y3Fo%3D,eight读的像eighty,,,,,,,
2,初级,大学生,女,,Desperately run.,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856439616077833/d8f2d2c8-536e-462a-8fed-80adf9f75e75?lk3s=ec46513b&x-expires=2080655355&x-signature=TVnTuPJCUQ8iDg%2ByUAfpO%2FfSewA%3D,desperately读的像desparately,,,,,,,
2,初级,大学生,女,,Not yet. I will make a plan to my.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856429613056050/a0687f95-04b9-401e-b9c4-a5c6cbaafb1f?lk3s=ec46513b&x-expires=2080655355&x-signature=6KV%2FpTvV4OQlq3z%2FO95zEiMv0Ew%3D,,,,,,,,
2,初级,大学生,女,,Or physical. I will make a plan to my physical endurance.,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648921609/7c787987-bcbc-4785-826f-57502d2d7ce6?lk3s=ec46513b&x-expires=2080655355&x-signature=bX7MHhY7ZKXHujJxvjpnK0b8%2BMw%3D,后半句缺少动词，可以改为make a plan to strengthen my physical endurance,,,,,,,
2,初级,大学生,女,,You can overlook. Look me.,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856435648905225/9db09533-a2a0-4326-b3c7-52fa5c75b01d?lk3s=ec46513b&x-expires=2080655355&x-signature=s4nzUu2RqmXRpl2mkyn2XiiHdyk%3D,overlook使用不当，应该是oversee,,,,,,,
2,初级,大学生,女,,我想说你，你可以监督我。,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/7647856413343612955/ca114c71-7d51-4d8c-b0df-4085f258a12a?lk3s=ec46513b&x-expires=2080655355&x-signature=waqWS%2Faucdq5fvq1Sg0p6Ld3dUk%3D,,,,,,,,
2,初级,大学生,女,,You can supervise me， can you， uh， uh， can you， 愿意吗？,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/7647856429613121586/b1c83772-f64d-4f77-b07e-e6d9724a0c1c?lk3s=ec46513b&x-expires=2080655356&x-signature=e8NmoiJmIivpVpVuCHZ59PS6NZw%3D,"1. 后半句不应该用can，应该是are you willing to supervise me
2. 用户有卡壳，犹豫",,,,,,,
